,area_id,area_type,year,Aggravated assault,All Crimes,Burglary,Larceny,Motor vehicle theft,Murder and nonnegligent manslaughter,Property crime,Rape (revised definition),Robbery,Violent crime,City,State
60037,1600000US5163768,region.place,2014,66.12663250123987,1711.0266159695816,148.78492312778968,529.013060009919,66.12663250123987,0.0,743.9246156389487,33.063316250619934,8.265829062654984,107.45577781451479,Poquoson,VA
60045,1600000US5183136,region.place,2013,60.85192697768762,3742.3935091277895,141.98782961460446,1561.866125760649,20.283975659229213,0.0,1724.1379310344828,20.283975659229213,50.709939148073026,131.84584178498986,Warrenton,VA
60046,1600000US5183136,region.place,2014,30.241935483870968,3366.935483870968,151.20967741935485,1411.2903225806451,20.161290322580644,0.0,1582.661290322581,10.080645161290322,50.40322580645161,90.72580645161293,Warrenton,VA
60054,1600000US5164880,region.place,2013,155.9367342392515,8531.967030519047,601.470260637113,3285.8097571842277,77.96836711962575,11.138338159946537,3965.248384940967,111.38338159946535,22.276676319893074,300.7351303185565,Pulaski,VA
60055,1600000US5164880,region.place,2014,89.70621215519175,5976.6763848396495,426.1045077371608,2186.5889212827988,89.70621215519175,11.213276519398965,2702.3996411751514,179.4124243103835,0.0,280.33191298497417,Pulaski,VA
60063,1600000US5129600,region.place,2013,140.84507042253526,11314.55399061033,1138.4976525821594,3955.3990610328638,140.84507042253526,0.0,5234.741784037559,129.10798122065728,140.84507042253526,410.7981220657277,Franklin,VA
60064,1600000US5129600,region.place,2014,161.8310021962779,9767.656918275345,832.2737255808577,3618.078834816784,104.03421569760721,23.11871459946827,4554.386776095249,34.67807189920241,104.03421569760721,323.6620043925558,Franklin,VA
60072,1600000US5127440,region.place,2013,98.25595676737902,7037.582903463523,184.22991893883568,3107.344632768362,36.84598378776713,0.0,3328.4205354949645,12.281994595922376,73.69196757553426,184.22991893883568,Farmville,VA
60073,1600000US5127440,region.place,2014,87.03220191470844,5793.858013179162,273.52977744622655,2337.436279995027,49.732686808404814,0.0,2660.698744249658,87.03220191470844,49.732686808404814,223.7970906378217,Farmville,VA
60080,1600000US5188000,region.place,2013,85.42836221625579,5955.577251647546,842.0795704173786,1940.4442274835249,73.22431047107641,0.0,2855.7481083719795,24.4081034903588,12.2040517451794,122.04051745179399,Wytheville,VA
60081,1600000US5188000,region.place,2014,60.67961165048544,5509.708737864077,109.2233009708738,2366.504854368932,157.76699029126212,0.0,2633.495145631068,36.40776699029127,0.0,97.08737864077669,Wytheville,VA
60089,1600000US5100148,region.place,2013,73.29587099926704,5985.829464940141,244.3195699975568,2418.7637429758124,183.23967749816762,0.0,2846.3229904715367,36.64793549963352,12.215978499877838,122.1597849987784,Abingdon,VA
60090,1600000US5100148,region.place,2014,97.45401388719698,3995.614569375077,207.08977951029357,1559.2642221951514,60.908758679498106,0.0,1827.2627603849432,24.363503471799245,48.72700694359849,170.54452430259468,Abingdon,VA
60096,1600000US5173200,region.place,2013,110.55152929615528,3488.5149244564545,208.81955533718212,1252.917332023093,110.55152929615528,0.0,1572.2884166564304,24.567006510256725,24.567006510256725,159.68554231666872,Smithfield,VA
60097,1600000US5173200,region.place,2014,60.59871530723549,3757.120349048601,133.31717367591807,1442.2494243122046,109.07768755302385,12.119743061447098,1684.6442855411462,0.0,109.07768755302385,181.79614592170643,Smithfield,VA
60105,1600000US5173712,region.place,2013,360.33797216699804,10648.608349900596,807.6540755467198,3839.4632206759443,124.2544731610338,0.0,4771.371769383698,74.55268389662028,99.40357852882704,534.2942345924453,South Boston,VA
60106,1600000US5173712,region.place,2014,301.7349761126477,10837.314558712598,829.7711843097812,4111.139049534825,37.71687201408096,0.0,4978.627105858687,25.144581342720645,100.57832537088258,427.45788282625085,South Boston,VA
60114,1600000US5181280,region.place,2013,357.84797630799613,7502.4679170779855,160.41461006910168,3097.235932872655,74.03751233958539,0.0,3331.6880552813427,12.3395853899309,49.3583415597236,419.54590325765054,Vinton,VA
60115,1600000US5181280,region.place,2014,379.25128456080256,6165.8918522143385,207.97651088818202,2361.1450942011256,61.169562025935896,12.233912405187178,2630.2911671152438,36.701737215561536,24.46782481037436,452.65475899192563,Vinton,VA
60123,1600000US5165008,region.place,2013,11.80080245456691,908.6617890016521,23.60160490913382,401.22728345527497,0.0,0.0,424.8288883644088,0.0,11.80080245456691,23.60160490913382,Purcellville,VA
60124,1600000US5165008,region.place,2014,11.336583153837434,929.5998186146696,45.34633261534974,396.78041038431013,11.336583153837434,0.0,453.4633261534973,0.0,0.0,11.336583153837434,Purcellville,VA
60132,1600000US5103368,region.place,2013,232.55813953488368,7455.540355677154,191.5184678522572,3023.255813953489,150.4787961696306,0.0,3365.253077975376,13.679890560875512,109.43912448700412,355.6771545827633,Ashland,VA
60133,1600000US5103368,region.place,2014,205.3950431329591,7969.327673558811,178.00903738189785,3382.1717102560588,164.31603450636723,0.0,3724.496782144324,27.3860057510612,27.3860057510612,260.16705463508146,Ashland,VA
60141,1600000US5145512,region.place,2013,28.591851322373124,1887.0621872766267,85.77555396711936,771.9799857040744,28.591851322373124,0.0,886.3473909935667,14.295925661186562,14.295925661186562,57.18370264474625,Lexington,VA
60142,1600000US5145512,region.place,2014,41.649312786339024,1679.8556157156745,111.06483409690406,638.6227960571982,13.883104262113008,0.0,763.5707344162155,27.766208524226016,0.0,69.41552131056504,Lexington,VA
60150,1600000US5130208,region.place,2013,160.11644832605532,8369.72343522562,320.23289665211064,3624.454148471616,58.22416302765648,0.0,4002.911208151383,0.0,14.55604075691412,174.67248908296943,Galax,VA
60154,1600000US5111032,region.place,2013,74.10701052319548,2000.8892841262784,14.821402104639098,829.9985178597898,14.821402104639098,14.821402104639098,859.6413220690677,44.464206313917295,0.0,133.3926189417519,Buena Vista,VA
60162,1600000US5176000,region.place,2013,76.7341927562922,3115.408225905463,92.08103130755065,1319.8281154082258,0.0,0.0,1411.9091467157764,61.38735420503376,0.0,138.12154696132595,Strasburg,VA
60163,1600000US5176000,region.place,2014,122.3802967722197,2768.8542144714697,168.272908061802,1055.5300596603947,15.297537096527462,15.297537096527462,1239.1005048187242,0.0,0.0,137.67783386874711,Strasburg,VA
60171,1600000US5105544,region.place,2013,84.83203257550049,8449.27044451985,441.1265693926026,3376.31489650492,203.59687818120116,0.0,4021.0383440787236,67.86562606040042,50.89921954530031,203.59687818120116,Bedford,VA
60172,1600000US5105544,region.place,2014,51.00306018361102,12461.747704862293,425.0255015300918,5389.323359401564,187.0112206732404,0.0,6001.3600816048975,102.00612036722204,51.00306018361102,204.01224073444408,Bedford,VA
60180,1600000US5149464,region.place,2013,291.1956149366221,7947.927372387804,342.58307639602606,3083.2476875642346,119.90407673860909,0.0,3545.734840698869,68.51661527920521,68.51661527920521,428.2288454950325,Marion,VA
60181,1600000US5149464,region.place,2014,271.692986924775,8031.923925963661,492.4435388011547,3056.5461029037187,84.90405841399219,0.0,3633.8937001188656,33.96162336559688,50.94243504839531,356.59704533876715,Marion,VA
60189,1600000US5119728,region.place,2013,104.80349344978164,3930.1310043668122,314.410480349345,1484.7161572052403,34.93449781659388,17.46724890829694,1834.0611353711788,0.0,0.0,122.27074235807859,Covington,VA
60190,1600000US5119728,region.place,2014,103.69858278603527,4217.075699965433,241.9633598340823,1624.6111303145526,51.84929139301764,0.0,1918.4237815416525,69.1323885240235,0.0,172.83097131005874,Covington,VA
60198,1600000US5125808,region.place,2013,281.04689970138764,9134.0242402951,772.8789741788161,3284.7356402599685,70.26172492534693,0.0,4127.876339364132,35.130862462673456,105.39258738802036,421.57034955208155,Emporia,VA
60199,1600000US5125808,region.place,2014,344.76501542369806,11032.480493558338,544.3658138268917,4336.780983487571,90.72763563781528,36.291054255126106,4971.874432952277,54.43658138268917,90.72763563781528,526.2202866993285,Emporia,VA
60207,1600000US5166928,region.place,2013,194.621372965322,8174.097664543524,813.8711960368009,2972.3991507431,70.7714083510262,0.0,3857.041755130927,17.69285208775655,0.0,212.3142250530786,Richlands,VA
60208,1600000US5166928,region.place,2014,88.74689385871496,5697.550585729499,532.4813631522896,2041.1785587504435,70.99751508697194,17.749378771742986,2644.657436989705,35.49875754348597,53.24813631522897,195.2431664891729,Richlands,VA
60216,1600000US5109656,region.place,2013,51.5729757607014,1787.863159704315,171.909919202338,636.0667010486505,17.1909919202338,0.0,825.1676121712222,17.1909919202338,0.0,68.7639676809352,Bridgewater,VA
60217,1600000US5109656,region.place,2014,0.0,505.22061300101035,0.0,185.2475581003705,50.52206130010104,0.0,235.76961940047158,16.84068710003368,0.0,16.84068710003368,Bridgewater,VA
60225,1600000US5107480,region.place,2013,215.51724137931038,7938.218390804598,377.1551724137931,3160.919540229885,107.75862068965515,0.0,3645.833333333334,89.79885057471266,0.0,305.316091954023,Big Stone Gap,VA
60226,1600000US5107480,region.place,2014,126.51364540032532,7410.084944876195,451.83444785830466,2982.107355864811,72.29351165732875,0.0,3506.235315380445,54.220133742996566,18.073377914332188,198.80715705765402,Big Stone Gap,VA
60241,1600000US5187712,region.place,2013,231.0803004043905,4737.1461582900065,115.54015020219525,1906.4124783362215,38.51338340073176,19.25669170036588,2060.4660119391488,19.25669170036588,38.51338340073176,308.1070672058541,Woodstock,VA
60242,1600000US5187712,region.place,2014,172.74472168905947,5930.902111324376,134.35700575815736,2629.558541266795,19.19385796545105,0.0,2783.1094049904027,0.0,0.0,172.74472168905947,Woodstock,VA
60250,1600000US5123760,region.place,2013,0.0,4351.174432036966,404.3126684636119,1559.4917212167886,211.7828263380824,0.0,2175.587216018483,0.0,0.0,0.0,Dumfries,VA
60251,1600000US5123760,region.place,2014,38.372985418265536,4719.877206446661,230.2379125095933,1841.9033000767458,211.05141980046048,0.0,2283.1926323868,19.186492709132768,19.186492709132768,76.7459708365311,Dumfries,VA
60259,1600000US5147528,region.place,2013,0.0,4360.345536816125,267.379679144385,1748.2517482517483,102.83833813245577,0.0,2118.469765528589,41.13533525298232,20.56766762649116,61.70300287947346,Luray,VA
60260,1600000US5147528,region.place,2014,82.45722531436817,4864.976293547722,185.52875695732843,2040.8163265306118,20.614306328592047,0.0,2246.959389816533,61.84291898577613,41.228612657184094,185.52875695732843,Luray,VA
60268,1600000US5168496,region.place,2013,310.7520198881292,8120.986119743112,186.45121193287758,3314.6882121400454,82.86720530350114,0.0,3584.0066293764244,165.73441060700227,0.0,476.48643049513163,Rocky Mount,VA
60269,1600000US5168496,region.place,2014,227.46071133167908,7837.05541770058,268.81720430107526,3287.841191066997,62.034739454094286,0.0,3618.693134822168,20.678246484698093,20.678246484698093,268.81720430107526,Rocky Mount,VA
60277,1600000US5159496,region.place,2013,82.62755629002271,4957.653377401363,227.2257797975625,2024.3751291055567,61.97066721751704,0.0,2313.571576120636,61.97066721751704,20.656889072505678,165.25511258004542,Orange,VA
60278,1600000US5159496,region.place,2014,143.23715981174544,4563.126662574176,306.9367710251688,1534.683855125844,61.38735420503376,0.0,1903.0079803560463,143.23715981174544,81.84980560671168,368.32412523020264,Orange,VA
60286,1600000US5173904,region.place,2013,152.4390243902439,6228.2229965156785,195.99303135888505,2526.132404181185,43.55400696864111,0.0,2765.6794425087105,43.55400696864111,152.4390243902439,348.4320557491289,South Hill,VA
60287,1600000US5173904,region.place,2014,174.9398644216051,7522.414170129018,524.8195932648152,2733.4353815875797,131.2048983162038,21.86748305270064,3389.4598731685987,65.6024491581019,109.33741526350315,371.7472118959108,South Hill,VA
60295,1600000US5177792,region.place,2013,133.12624805857556,4149.101397825604,310.62791213667634,1530.951852673619,66.56312402928778,0.0,1908.142888839583,0.0,22.187708009762588,155.31395606833811,Tazewell,VA
60296,1600000US5177792,region.place,2014,66.35700066356999,3782.34903782349,331.78500331785006,1393.4970139349705,66.35700066356999,0.0,1791.6390179163905,22.119000221190003,0.0,88.47600088476001,Tazewell,VA
60304,1600000US5106968,region.place,2013,46.620046620046615,3962.7039627039626,163.17016317016316,1678.3216783216785,23.310023310023308,0.0,1864.801864801865,46.620046620046615,23.310023310023308,116.55011655011656,Berryville,VA
60305,1600000US5106968,region.place,2014,0.0,2695.167286245353,813.1970260223047,394.9814126394052,92.93680297397768,0.0,1301.1152416356877,0.0,23.234200743494426,23.234200743494426,Berryville,VA
60313,1600000US5157688,region.place,2013,73.02823758519959,9883.154819863681,559.8831548198636,4016.5530671859783,97.3709834469328,0.0,4673.807205452776,146.05647517039918,48.685491723466406,267.77020447906517,Norton,VA
60314,1600000US5157688,region.place,2014,198.51116625310172,10471.464019851115,198.51116625310172,4665.012406947892,49.627791563275444,0.0,4913.151364764268,24.813895781637722,74.44168734491316,297.76674937965265,Norton,VA
60322,1600000US5117440,region.place,2013,154.79876160990713,2992.7760577915383,232.19814241486068,954.5923632610941,103.19917440660473,0.0,1289.9896800825593,51.59958720330236,0.0,206.39834881320945,Clifton Forge,VA
60329,1600000US5110040,region.place,2013,0.0,477.9607010090282,106.21348911311735,132.7668613913967,0.0,0.0,238.9803505045141,0.0,0.0,0.0,Broadway,VA
60330,1600000US5110040,region.place,2014,0.0,686.5592817533668,132.03063110641668,184.8428835489834,26.406126221283337,0.0,343.2796408766834,0.0,0.0,0.0,Broadway,VA
60338,1600000US5107832,region.place,2013,195.858981533296,8030.218242865137,391.717963066592,3189.7034135422496,27.979854504756574,0.0,3609.401231113598,27.979854504756574,167.87912702853941,391.717963066592,Blackstone,VA
60339,1600000US5107832,region.place,2014,336.7003367003366,6453.4231200897875,252.52525252525254,2497.1941638608305,28.05836139169473,0.0,2777.777777777778,0.0,112.23344556677893,448.9337822671157,Blackstone,VA
60347,1600000US5118400,region.place,2013,112.54924029262804,5402.363534046145,562.7462014631401,1603.8266741699492,309.51041080472714,0.0,2476.083286437817,84.41193021947102,28.13731007315701,225.09848058525608,Colonial Beach,VA
60348,1600000US5118400,region.place,2014,111.91941801902632,4532.736429770565,279.79854504756577,1622.8315612758813,167.87912702853941,0.0,2070.5092333519865,83.93956351426971,0.0,195.858981533296,Colonial Beach,VA
60356,1600000US5101528,region.place,2013,172.1170395869191,3671.830177854274,114.74469305794607,1491.681009753299,0.0,0.0,1606.4257028112447,0.0,57.37234652897303,229.48938611589213,Altavista,VA
60357,1600000US5101528,region.place,2014,171.47756501857677,4058.3023721063173,200.0571591883395,1457.5593026579024,171.47756501857677,0.0,1829.0940268648185,0.0,28.57959416976279,200.0571591883395,Altavista,VA
60365,1600000US5144696,region.place,2013,59.101654846335705,6678.486997635934,325.0591016548463,2807.3286052009453,118.20330969267141,0.0,3250.591016548464,29.550827423167853,0.0,88.65248226950355,Lebanon,VA
60366,1600000US5144696,region.place,2014,29.64719833975689,8923.806700266825,296.47198339756903,4002.371775867181,0.0,0.0,4298.84375926475,59.29439667951378,59.29439667951378,148.23599169878452,Lebanon,VA
60374,1600000US5184960,region.place,2013,60.40471156750227,2355.7837511325883,271.8212020537602,785.2612503775294,60.40471156750227,0.0,1117.4871639987919,0.0,0.0,60.40471156750227,West Point,VA
60375,1600000US5184960,region.place,2014,0.0,1973.0941704035874,89.68609865470852,896.8609865470853,0.0,0.0,986.5470852017937,0.0,0.0,0.0,West Point,VA
60383,1600000US5187072,region.place,2013,153.7988311288834,5321.439557059366,307.5976622577668,2030.144570901261,92.27929867733006,0.0,2430.021531836358,61.51953245155338,0.0,215.31836358043682,Wise,VA
60384,1600000US5187072,region.place,2014,93.22560596643879,4972.032318210067,124.3008079552517,2144.188937228092,31.075201988812925,31.075201988812925,2299.5649471721563,31.075201988812925,31.075201988812925,186.45121193287758,Wise,VA
60392,1600000US5116512,region.place,2013,67.81959986436081,3221.430993557138,305.18819938962366,1186.842997626314,33.909799932180405,0.0,1525.940996948118,0.0,0.0,67.81959986436081,Chincoteague,VA
60393,1600000US5116512,region.place,2014,68.35269993164731,3007.518796992481,68.35269993164731,1332.8776486671222,0.0,0.0,1401.2303485987698,0.0,34.17634996582365,102.52904989747095,Chincoteague,VA
60400,1600000US5161208,region.place,2013,37.05075954057058,6595.0351982215625,148.20303816228233,2927.010003705076,74.10151908114116,0.0,3149.3145609484995,111.15227862171173,0.0,148.20303816228233,Pearisburg,VA
60401,1600000US5161208,region.place,2014,36.87315634218289,7300.8849557522135,221.2389380530973,3244.837758112095,73.74631268436578,0.0,3539.823008849557,36.87315634218289,36.87315634218289,110.61946902654869,Pearisburg,VA
60409,1600000US5125408,region.place,2013,0.0,2233.42939481268,144.0922190201729,864.5533141210375,108.06916426512969,0.0,1116.71469740634,0.0,0.0,0.0,Elkton,VA
60410,1600000US5125408,region.place,2014,143.2664756446991,3510.0286532951286,358.1661891117479,1146.1318051575931,71.63323782234956,0.0,1575.9312320916904,35.81661891117478,0.0,179.08309455587394,Elkton,VA
60418,1600000US5137336,region.place,2013,185.0481125092524,6809.77054034049,222.05773501110286,2553.663952627683,259.06735751295344,0.0,3034.78904515174,111.02886750555143,74.01924500370096,370.0962250185048,Hillsville,VA
60419,1600000US5137336,region.place,2014,147.65596160944997,5057.2166851236625,369.13990402362487,1882.6135105204874,73.82798080472499,0.0,2325.581395348837,36.913990402362494,0.0,184.5699520118125,Hillsville,VA
60427,1600000US5133488,region.place,2013,0.0,1615.8648549394052,110.17260374586854,697.7598237238341,0.0,0.0,807.9324274697026,0.0,0.0,0.0,Grottoes,VA
60428,1600000US5133488,region.place,2014,109.40919037199123,729.3946024799417,72.93946024799416,145.87892049598833,36.46973012399708,0.0,255.28811086797958,0.0,0.0,109.40919037199123,Grottoes,VA
60436,1600000US5120160,region.place,2013,130.718954248366,5751.6339869281055,827.8867102396514,1830.0653594771247,87.14596949891067,0.0,2745.098039215686,0.0,0.0,130.718954248366,Crewe,VA
